411d;411a;-66;00cb;0;0;0;3067.938
411d;411a;-61;00ca;0;0;0;.25
411d;411a;-58;00c9;0;0;0;.438
411d;411a;-58;00c8;0;0;0;.438
411d;411a;-54;00c7;0;0;0;.688
411d;411a;-60;00c6;0;0;0;.313
411d;411a;-52;00c5;0;0;0;.813
411d;411a;-58;00c4;0;0;0;.438
411d;411a;-68;00c3;0;0;0;3067.813
411d;411a;-74;00c2;0;0;0;3067.438
411d;411a;-81;00c1;0;0;0;3067
411d;411a;-89;00c0;0;0;0;3066.5
411d;411a;-82;00bf;0;0;0;3066.938
411d;411a;-92;00be;0;0;0;3066.313
411d;411a;-87;00bd;0;0;0;3066.625
411d;411a;-103;00bc;0;0;0;3065.625
411d;411a;-85;00bb;0;0;0;3066.75
411d;411a;-71;00ba;0;0;0;3067.625
411d;411a;-68;00b9;0;0;0;3067.813
411d;411a;-64;00b8;0;0;0;.063
411d;411a;-70;00b7;0;0;0;3067.688
411d;411a;-65;00b6;0;0;0;
411d;411a;-68;00b5;0;0;0;3067.813
411d;411a;-82;00b4;0;0;0;3066.938
411d;411a;-80;00b3;0;0;0;3067.063
411d;411a;-88;00b2;0;0;0;3066.563
411d;411a;-79;00b1;0;0;0;3067.125
411d;411a;-80;00b0;0;0;0;3067.063
411d;411a;-93;00af;0;0;0;3066.25
411d;411a;-96;00ae;0;0;0;3066.063
411d;411a;-103;00ad;0;0;0;3065.625
411d;411a;-108;00ac;0;0;0;3065.313
411d;411a;-117;00ab;0;0;0;3064.75
411d;411a;-120;00aa;0;0;0;3064.563
411d;411a;-120;00a9;0;0;0;3064.563
411d;411a;-118;00a8;0;0;0;3064.688
411d;411a;-117;00a7;0;0;0;3064.75
411d;411a;-126;00a6;0;0;0;3064.188
411d;411a;-117;00a5;0;0;0;3064.75
411d;411a;-125;00a4;0;0;0;3064.25
411d;411a;-121;00a3;0;0;0;3064.5
411d;411a;-120;00a2;0;0;0;3064.563
411d;411a;-124;00a1;0;0;0;3064.313
411d;411a;-125;00a0;0;0;0;3064.25
411d;411a;-123;009f;0;0;0;3064.375
411d;411a;-123;009e;0;0;0;3064.375
411d;411a;-126;009d;0;0;0;3064.188
411d;411a;-118;009c;0;0;0;3064.688
411d;411a;-118;009b;0;0;0;3064.688
411d;411a;-112;009a;0;0;0;3065.063
411d;411a;-99;0099;0;0;0;3065.875
411d;411a;-102;0098;0;0;0;3065.688
411d;411a;-100;0097;0;0;0;3065.813
411d;411a;-91;0096;0;0;0;3066.375
411d;411a;-92;0095;0;0;0;3066.313
411d;411a;-92;0094;0;0;0;3066.313
411d;411a;-87;0093;0;0;0;3066.625
411d;411a;-94;0092;0;0;0;3066.188
411d;411a;-100;0091;0;0;0;3065.813
411d;411a;-94;0090;0;0;0;3066.188
411d;411a;-86;008f;0;0;0;3066.688
411d;411a;-91;008e;0;0;0;3066.375
411d;411a;-97;008d;0;0;0;3066
411d;411a;-89;008c;0;0;0;3066.5
411d;411a;-85;008b;0;0;0;3066.75
411d;411a;-85;008a;0;0;0;3066.75
411d;411a;-87;0089;0;0;0;3066.625
411d;411a;-88;0088;0;0;0;3066.563
411d;411a;-76;0087;0;0;0;3067.313
411d;411a;-87;0086;0;0;0;3066.625
411d;411a;-88;0085;0;0;0;3066.563
411d;411a;-91;0084;0;0;0;3066.375
411d;411a;-84;0083;0;0;0;3066.813
411d;411a;-81;0082;0;0;0;3067
411d;411a;-80;0081;0;0;0;3067.063
411d;411a;-78;0080;0;0;0;3067.188
411d;411a;-75;007f;0;0;0;3067.375
411d;411a;-65;007e;0;0;0;
411d;411a;-70;007d;0;0;0;3067.688
411d;411a;-54;007c;0;0;0;.688
411d;411a;-74;007b;0;0;0;3067.438
411d;411a;-71;007a;0;0;0;3067.625
411d;411a;-84;0079;0;0;0;3066.813
411d;411a;-100;0078;0;0;0;3065.813
411d;411a;-87;0077;0;0;0;3066.625
